timestamp,open,high,low,close
2021-12-13,96.07,96.392,96.033,96.282
2021-12-14,96.35,96.522,96.037,96.517
2021-12-15,96.447,96.859,96.222,96.304
2021-12-16,96.352,96.377,95.781,95.996
2021-12-17,95.953,96.398,95.811,96.391
2021-12-20,96.528,96.625,96.298,96.485
2021-12-21,96.472,96.594,96.3,96.435
2021-12-22,96.437,96.554,95.98,95.984
2021-12-23,96.003,96.233,95.937,95.963
2021-12-27,96.085,96.211,96.004,96.036
2021-12-28,96.008,96.235,95.952,96.101
2021-12-29,96.108,96.355,95.7,95.845
2021-12-30,95.83,96.188,95.825,95.988
2021-12-31,95.934,96.068,95.533,95.567
2022-01-03,95.722,96.291,95.685,96.206
2022-01-04,96.137,96.431,95.999,96.257
2022-01-05,96.296,96.296,95.849,96.16
2022-01-06,96.175,96.357,95.996,96.253
2022-01-07,96.217,96.227,95.658,95.706
2022-01-10,95.728,96.18,95.72,95.899
2022-01-11,95.864,96.026,95.532,95.564
2022-01-12,95.522,95.642,94.84,94.87
2022-01-13,94.93,94.962,94.59,94.822
2022-01-14,94.775,95.204,94.561,95.092
2022-01-17,95.158,95.283,94.976,95.146
2022-01-18,95.083,95.752,95.059,95.741
2022-01-19,95.659,95.718,95.413,95.475
2022-01-20,95.461,95.788,95.349,95.783
2022-01-21,95.749,95.775,95.427,95.574
2022-01-24,95.611,96.061,95.604,95.838
2022-01-25,95.873,96.196,95.829,95.887
2022-01-26,95.899,96.469,95.842,96.409
2022-01-27,96.464,97.224,96.463,97.171
2022-01-28,97.142,97.363,96.975,97.16
2022-01-31,97.178,97.179,96.435,96.547
2022-02-01,96.626,96.641,96.153,96.213
2022-02-02,96.189,96.224,95.72,95.906
2022-02-03,95.983,96.184,95.162,95.34
2022-02-04,95.234,95.632,95.08,95.348
2022-02-07,95.375,95.555,95.272,95.346
2022-02-08,95.353,95.67,95.312,95.516
2022-02-09,95.559,95.591,95.304,95.47
2022-02-10,95.517,95.926,95.08,95.573
2022-02-11,95.791,96.056,95.55,95.993
2022-02-14,95.867,96.35,95.858,96.268
2022-02-15,96.145,96.208,95.872,95.901
2022-02-16,95.916,95.965,95.589,95.659
2022-02-17,95.713,96.019,95.61,95.74
2022-02-18,95.761,96.08,95.64,96.009
2022-02-21,95.956,96.058,95.572,96.02
2022-02-22,95.99,96.162,95.738,95.989
2022-02-23,95.917,96.133,95.748,96.122
2022-02-24,96.257,97.643,96.179,96.94
2022-02-25,96.922,97.136,96.457,96.465
2022-02-28,97.06,97.312,96.514,96.653
2022-03-01,96.718,97.515,96.555,97.272
2022-03-02,97.336,97.81,97.255,97.3
2022-03-03,97.463,97.92,97.406,97.719
2022-03-04,98.053,98.906,97.83,98.548
2022-03-07,99.006,99.428,98.684,99.258
2022-03-08,99.353,99.427,98.847,99.212
2022-03-09,99.162,99.237,97.932,98.093
2022-03-10,98.178,98.582,97.75,98.582
2022-03-11,98.467,99.166,98.252,99.085
2022-03-14,98.955,99.267,98.671,99.083
