type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,pnl_points,mae_points,atr_at_exit,holding_hours,exit_reason,trade_id
Short,False,1.0,2025-08-21 22:00:00,2025-08-22 06:00:00,3339.5,3339.07,0.06,-8.59,11.89,24,Signal Exit,814
Short,True,1.4000000000000001,2025-08-22 14:00:00,2025-08-23 02:00:00,3330.11,3374.25,-63.32,-68.24,14.34,24,Stop Loss Exit,815
Short,False,1.0,2025-08-22 10:00:00,2025-08-23 02:00:00,3334.25,3374.25,-41.09,-44.6,14.34,24,Stop Loss Exit,816
Long,False,1.0,2025-08-25 14:00:00,2025-08-26 06:00:00,3364.61,3365.83,0.5,-2.66,11.55,24,Signal Exit,817
Long,False,1.0,2025-08-26 10:00:00,2025-08-26 14:00:00,3376.71,3376.56,-0.37,-6.86,13.53,0,Signal Exit,818
Long,False,1.0,2025-08-26 22:00:00,2025-08-27 10:00:00,3375.51,3386.18,9.95,-5.11,12.27,24,Signal Exit,819
Long,True,1.0,2025-08-27 06:00:00,2025-08-27 10:00:00,3394.1,3386.18,-8.14,-10.73,12.27,0,Signal Exit,820
Long,False,1.0,2025-08-27 18:00:00,2025-08-27 22:00:00,3378.27,3377.81,-0.68,-4.41,13.0,0,Signal Exit,821
Long,False,1.0,2025-08-28 02:00:00,2025-08-28 10:00:00,3395.24,3385.9,-9.56,-9.77,14.28,0,Signal Exit,822
Long,True,1.0999999999999999,2025-08-28 06:00:00,2025-08-28 10:00:00,3398.31,3385.9,-13.89,-14.12,14.28,0,Signal Exit,823
Long,True,1.2,2025-08-28 18:00:00,2025-08-29 06:00:00,3399.3,3416.67,19.98,-6.5,12.86,24,Signal Exit,824
Long,False,1.0,2025-08-28 14:00:00,2025-08-29 06:00:00,3389.32,3416.67,26.63,-0.67,12.86,24,Signal Exit,825
Long,False,1.0,2025-08-29 14:00:00,2025-08-29 18:00:00,3410.5,3407.52,-3.2,-3.9,11.64,0,Signal Exit,826
Long,False,1.0,2025-08-29 22:00:00,2025-09-01 18:00:00,3429.05,3469.43,38.66,-0.08,15.75,72,Signal Exit,827
Long,True,1.2,2025-08-30 02:00:00,2025-09-01 18:00:00,3443.66,3469.43,29.46,-7.94,15.75,48,Signal Exit,828
